City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Puerto Escondido,MX,81.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
258,Porto Velho,BR,75.25,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
266,Virginia Beach,US,70.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
268,Beyneu,KZ,71.65,overcast clouds,45.3167,55.2,NUR
270,Akyab,MM,86.56,clear sky,20.15,92.9,Hotel Memory
271,Sur,OM,89.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
272,Richards Bay,ZA,76.08,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
274,Antalaha,MG,81.97,light rain,-14.9003,50.2788,Hotel Vitasoa
285,Mwinilunga,ZM,73.71,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
287,Tual,ID,85.1,broken clouds,-5.6667,132.75,Grand Vilia Hotel
291,Chipoka,MW,75.96,few clouds,-13.9933,34.5157,The Cichlids Lodge
292,Tangua,BR,71.19,broken clouds,-22.7303,-42.7142,Hotel Pousada Do Frances
295,Touros,BR,78.13,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
297,Manavalakurichi,IN,89.78,broken clouds,8.1333,77.3,Jebinrio home
299,Baracoa,CU,75.88,few clouds,20.3467,-74.4958,Hostal Rio Miel
300,Celestun,MX,76.21,clear sky,20.8667,-90.4,Posada Lilia
301,Acandi,CO,76.3,broken clouds,8.5063,-77.2778,Hotel Patio Bonito
304,Grand Gaube,MU,82.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
306,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
308,Itupiranga,BR,77.32,overcast clouds,-5.1347,-49.3267,Hotel Panorama
309,Garmsar,IR,74.5,broken clouds,35.2182,52.3409,مجتمع مرصاد
312,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
315,Cayenne,GF,74.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
319,Saint-Joseph,RE,80.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
320,Sirjan,IR,77.95,clear sky,29.452,55.6814,MAPNA Building
