City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Bo Rai,TH,2022-05-02 07:59:45,12.5728,102.5371,84.25,93,100,4.85
165,Lang Son,VN,2022-05-02 07:59:46,21.8333,106.7333,76.75,42,95,12.8
166,Kumluca,TR,2022-05-02 07:59:46,36.3703,30.2869,74.28,58,93,9.04
167,Biak,ID,2022-05-02 07:59:47,-0.9131,122.8766,82.2,75,28,7.34
168,Arkhara,RU,2022-05-02 07:59:47,49.4212,130.0842,57.67,25,95,7.63
169,Puerto Del Rosario,ES,2022-05-02 07:59:48,28.5004,-13.8627,65.95,82,20,14.97
170,Jiangyou,CN,2022-05-02 07:59:48,31.7667,104.7167,74.32,29,100,3.85
171,Izhma,RU,2022-05-02 07:59:49,65.0083,53.9113,32.68,63,96,8.9
172,Mahebourg,MU,2022-05-02 07:59:50,-20.4081,57.7,84.25,74,40,8.05
173,Labuhan,ID,2022-05-02 07:59:50,-6.8844,112.2051,87.44,68,96,10.29
174,Artyom,AZ,2022-05-02 07:59:51,40.4723,50.333,64.54,74,45,24.72
175,College,US,2022-05-02 07:59:51,64.8569,-147.8028,41.58,66,100,4.09
176,Bredasdorp,ZA,2022-05-02 07:53:07,-34.5322,20.0403,64.54,65,63,6.62
177,Iralaya,HN,2022-05-02 07:59:52,15.0,-83.2333,78.78,88,100,11.92
178,Ponta Do Sol,PT,2022-05-02 07:59:52,32.6667,-17.1,65.12,74,1,4.18
179,Lekoni,GA,2022-05-02 07:59:53,-1.5843,14.2591,79.81,67,86,5.41
180,Gbadolite,CD,2022-05-02 07:59:53,4.2833,21.0167,83.59,59,100,6.33
181,Aklavik,CA,2022-05-02 07:59:54,68.2191,-135.0107,31.37,96,100,8.08
182,Sao Filipe,CV,2022-05-02 07:59:55,14.8961,-24.4956,72.16,74,5,8.52
183,Kalmar,SE,2022-05-02 07:59:55,56.6616,16.3616,57.15,59,0,13.8
184,Kisii,KE,2022-05-02 07:59:56,-0.6817,34.7667,73.54,53,100,2.77
185,Haines Junction,CA,2022-05-02 08:00:56,60.7522,-137.5108,35.64,95,100,4.0
186,Esperance,AU,2022-05-02 08:00:57,-33.8667,121.9,67.35,65,97,14.18
187,Visby,SE,2022-05-02 08:00:57,57.6409,18.296,55.06,53,0,14.97
188,Mareeba,AU,2022-05-02 08:00:58,-17.0,145.4333,75.43,81,20,3.58
189,Deputatskiy,RU,2022-05-02 08:00:58,69.3,139.9,28.09,94,84,4.41
190,Basco,PH,2022-05-02 08:00:59,20.4487,121.9702,77.14,88,100,19.33
191,Manicore,BR,2022-05-02 08:00:59,-5.8092,-61.3003,71.69,99,50,1.28
192,Pathein,MM,2022-05-02 08:01:00,16.7833,94.7333,100.54,34,1,13.98
193,Siavonga,ZM,2022-05-02 08:01:01,-16.5382,28.7088,74.88,52,0,0.87
194,Komsomolskiy,UZ,2022-05-02 08:01:01,40.4272,71.7189,88.52,25,96,6.91
195,Acajutla,SV,2022-05-02 08:01:02,13.5928,-89.8275,80.62,79,100,4.36
196,Serafimovich,RU,2022-05-02 08:01:02,49.5786,42.736,54.63,34,100,5.46
197,Padang,ID,2022-05-02 08:00:28,-0.9492,100.3543,84.25,79,96,2.75
198,Dikson,RU,2022-05-02 08:01:03,73.5069,80.5464,19.29,74,100,16.73
199,Port Hardy,CA,2022-05-02 08:01:03,50.6996,-127.4199,46.36,90,100,2.95
200,Vestmannaeyjar,IS,2022-05-02 08:01:04,63.4427,-20.2734,45.59,81,75,23.02
201,Saint-Georges,GD,2022-05-02 08:01:05,12.0564,-61.7485,78.73,77,49,11.18
202,Talara,PE,2022-05-02 08:01:05,-4.5772,-81.2719,68.65,81,100,11.92
203,Tasiilaq,GL,2022-05-02 08:01:06,65.6145,-37.6368,18.81,70,99,4.41
204,Dunedin,NZ,2022-05-02 08:01:06,-45.8742,170.5036,55.8,80,100,2.35
205,Cabo San Lucas,MX,2022-05-02 07:59:42,22.8909,-109.9124,68.61,56,3,5.99
206,Merauke,ID,2022-05-02 08:01:07,-8.4667,140.3333,83.25,79,59,10.22
207,Shimoda,JP,2022-05-02 08:01:07,34.6667,138.95,63.1,53,73,18.03
208,Banda Aceh,ID,2022-05-02 08:01:08,5.5577,95.3222,85.73,68,85,13.0
209,Souillac,MU,2022-05-02 08:01:08,-20.5167,57.5167,82.78,74,40,6.91
210,Dudinka,RU,2022-05-02 08:01:09,69.4058,86.1778,27.63,90,91,11.39
211,Tikhvin,RU,2022-05-02 08:01:09,59.6451,33.5294,53.22,56,48,9.8
212,La Ronge,CA,2022-05-02 08:01:10,55.1001,-105.2842,30.47,95,100,6.8
213,Nuuk,GL,2022-05-02 08:01:10,64.1835,-51.7216,27.21,86,20,5.75
214,Oga,IT,2022-05-02 08:01:11,46.4631,10.347,49.8,80,53,1.81
215,Brenham,US,2022-05-02 08:01:11,30.1669,-96.3977,74.98,80,40,5.75
216,Vilyuysk,RU,2022-05-02 08:01:12,63.7553,121.6247,31.08,62,100,16.26
217,Zhicheng,CN,2022-05-02 08:01:12,30.2956,111.5047,78.58,34,100,3.44
218,Ribeira Grande,PT,2022-05-02 08:01:13,38.5167,-28.7,63.0,77,75,5.75
219,Iskateley,RU,2022-05-02 08:01:14,67.6803,53.1512,25.68,74,95,10.16
220,Port Macquarie,AU,2022-05-02 08:00:42,-31.4333,152.9167,63.9,70,9,5.41
221,Kurilsk,RU,2022-05-02 08:01:14,45.2333,147.8833,35.85,96,100,19.39
222,Ancud,CL,2022-05-02 08:01:15,-41.8697,-73.8203,46.8,92,0,3.4
223,Grindavik,IS,2022-05-02 07:56:32,63.8424,-22.4338,39.67,70,0,8.05
224,Chumikan,RU,2022-05-02 08:01:16,54.7183,135.315,32.49,94,100,10.96
225,Hualmay,PE,2022-05-02 08:01:16,-11.0964,-77.6139,64.36,86,69,6.67
226,Bauchi,NG,2022-05-02 08:01:17,10.5,10.0,88.34,40,87,6.26
227,Sangar,RU,2022-05-02 08:01:18,63.9242,127.4739,34.09,99,100,6.26
228,Saint-Francois,FR,2022-05-02 08:01:18,46.4154,3.9054,49.44,87,0,1.14
229,Urengoy,RU,2022-05-02 08:01:19,65.9667,78.3667,30.29,98,93,3.33
230,Boende,CD,2022-05-02 08:01:19,-0.2167,20.8667,82.51,60,98,4.7
231,Balabac,PH,2022-05-02 08:02:20,7.9868,117.0645,85.5,68,92,7.23
232,Leninskoye,KZ,2022-05-02 08:02:21,41.7589,69.3864,86.11,40,100,9.62
